split,image,label,objects,potholes,cracks
train,sample_road1.jpg,sample_road1.txt,0,0,0
train,sample_road2.jpg,sample_road2.txt,0,0,0
train,sample_road3.jpg,sample_road3.txt,1,1,0
train,sample_road4.jpg,sample_road4.txt,2,2,0
train,sample_road5.jpg,sample_road5.txt,0,0,0
train,sample_road7.jpg,sample_road7.txt,0,0,0
train,sample_road8.jpg,sample_road8.txt,3,3,0
train,sample_road11.jpg,sample_road11.txt,1,0,1
train,sample_road13.jpg,sample_road13.txt,1,1,0
train,sample_road15.jpg,sample_road15.txt,2,2,0
train,sample_road16.jpg,sample_road16.txt,1,1,0
train,sample_road17.jpg,sample_road17.txt,1,1,0
train,sample_road18.jpg,sample_road18.txt,1,1,0
train,sample_road19.jpg,sample_road19.txt,1,0,1
val,sample_road6.jpg,sample_road6.txt,3,3,0
val,sample_road10.jpg,sample_road10.txt,2,2,0
val,sample_road14.jpg,sample_road14.txt,1,1,0
test,sample_road9.jpg,sample_road9.txt,0,0,0
test,sample_road12.jpg,sample_road12.txt,1,1,0
test,sample_road16.jpg,sample_road16.txt,1,1,0
test,sample_road20.jpg,sample_road20.txt,1,0,1
