epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41607,2.30852,4.03145,2.37761,0.00345,0.33333,0.00446,0.00123,2.61891,4.42901,2.97186,5.001e-05,5.001e-05,5.001e-05
2,12.1207,2.08381,4.02337,2.13548,0.00193,0.16667,0.00191,0.00094,2.47937,4.54534,2.68928,0.00011438,0.00011438,0.00011438
3,17.5083,1.51537,6.9931,1.66218,0.00199,0.16667,0.00162,0.00043,2.71789,4.49775,2.74425,0.000176109,0.000176109,0.000176109
4,22.4773,1.83142,3.92568,2.1066,0.00199,0.16667,0.00232,0.00063,3.14014,4.67368,3.6111,0.000235197,0.000235197,0.000235197
5,27.3188,1.60249,3.58062,1.83478,0.00204,0.16667,0.00617,0.00092,3.1739,4.66582,3.73879,0.000291645,0.000291645,0.000291645
6,32.3918,1.53782,3.84908,1.74313,0.00208,0.16667,0.00268,0.00027,3.23204,4.6227,3.59746,0.000345452,0.000345452,0.000345452
7,37.3625,1.60824,3.60261,1.7758,0.00208,0.16667,0.00268,0.00027,3.23204,4.6227,3.59746,0.000396619,0.000396619,0.000396619
8,42.3871,1.65453,3.81276,1.83248,0.00212,0.16667,0.00205,0.00077,2.88637,4.55304,2.90266,0.000445146,0.000445146,0.000445146
9,47.1954,1.55741,3.89104,1.63091,0.00216,0.16667,0.00483,0.00048,3.06841,4.53042,3.07949,0.000491032,0.000491032,0.000491032
10,52.2478,1.7573,3.62216,1.79451,0.00216,0.16667,0.00483,0.00048,3.06841,4.53042,3.07949,0.000534277,0.000534277,0.000534277
11,57.1832,1.51377,3.37544,1.70263,0.00227,0.16667,0.00627,0.00092,3.43426,4.90512,3.70413,0.000574882,0.000574882,0.000574882
12,62.03,1.75373,3.66399,1.75751,0.00227,0.16667,0.00627,0.00092,3.43426,4.90512,3.70413,0.000612846,0.000612846,0.000612846
13,67.0849,1.67853,3.81447,1.78665,0.00238,0.16667,0.00512,0.00143,3.79106,5.28535,4.0259,0.00064817,0.00064817,0.00064817
14,72.1437,2.17225,5.57722,2.12273,0.00238,0.16667,0.00512,0.00143,3.79106,5.28535,4.0259,0.000680853,0.000680853,0.000680853
15,77.2761,1.73907,3.68648,1.85528,0.00251,0.16667,0.00228,0.0006,3.44698,5.1886,3.84605,0.000710895,0.000710895,0.000710895
16,81.9584,1.88914,3.81115,1.85195,0.00251,0.16667,0.00228,0.0006,3.44698,5.1886,3.84605,0.000738298,0.000738298,0.000738298
17,87.0916,1.64669,3.96889,1.76679,0.00251,0.16667,0.00228,0.0006,3.44698,5.1886,3.84605,0.000763059,0.000763059,0.000763059
18,91.9532,1.69279,3.21599,1.69296,0.00238,0.16667,0.00787,0.00602,3.13725,4.65546,3.40763,0.00078518,0.00078518,0.00078518
19,96.7676,1.54456,3.16003,1.71702,0.00238,0.16667,0.00787,0.00602,3.13725,4.65546,3.40763,0.000804661,0.000804661,0.000804661
20,101.75,1.51682,3.90074,1.70226,0.00238,0.16667,0.00787,0.00602,3.13725,4.65546,3.40763,0.000821501,0.000821501,0.000821501
21,106.676,1.69453,3.31604,1.63646,0.00238,0.16667,0.00787,0.00602,3.13725,4.65546,3.40763,0.0008357,0.0008357,0.0008357
22,111.648,1.83849,3.71538,1.9591,0.01837,0.16667,0.0559,0.03638,3.55174,4.77452,3.89549,0.000847259,0.000847259,0.000847259
23,116.384,1.75257,2.92367,1.75841,0.01837,0.16667,0.0559,0.03638,3.55174,4.77452,3.89549,0.000856178,0.000856178,0.000856178
24,121.193,1.66416,2.7907,1.66046,0.01837,0.16667,0.0559,0.03638,3.55174,4.77452,3.89549,0.000862456,0.000862456,0.000862456
25,126.009,1.69822,2.94475,1.83835,0.01837,0.16667,0.0559,0.03638,3.55174,4.77452,3.89549,0.000866093,0.000866093,0.000866093
26,130.926,1.81302,3.27084,1.78185,0.93496,0.16667,0.16588,0.06661,3.62972,4.94932,3.91304,0.000841835,0.000841835,0.000841835
27,135.93,1.43037,2.78657,1.41594,0.93496,0.16667,0.16588,0.06661,3.62972,4.94932,3.91304,0.000808828,0.000808828,0.000808828
28,140.83,1.45666,2.63433,1.54575,0.93496,0.16667,0.16588,0.06661,3.62972,4.94932,3.91304,0.000775822,0.000775822,0.000775822
29,145.733,1.44271,2.74207,1.54775,0.93496,0.16667,0.16588,0.06661,3.62972,4.94932,3.91304,0.000742815,0.000742815,0.000742815
30,150.634,1.40219,2.47645,1.46149,0.43475,0.16667,0.08339,0.03336,3.76834,5.22584,4.07071,0.000709809,0.000709809,0.000709809
31,155.341,1.51851,2.70657,1.55238,0.43475,0.16667,0.08339,0.03336,3.76834,5.22584,4.07071,0.000676802,0.000676802,0.000676802
32,160.035,1.57104,2.45265,1.64747,0.43475,0.16667,0.08339,0.03336,3.76834,5.22584,4.07071,0.000643795,0.000643795,0.000643795
33,164.826,1.43941,2.65754,1.50301,0.43475,0.16667,0.08339,0.03336,3.76834,5.22584,4.07071,0.000610789,0.000610789,0.000610789
34,169.75,1.48518,2.45524,1.54147,0.47366,0.16667,0.08348,0.03339,3.76535,4.64069,4.07355,0.000577782,0.000577782,0.000577782
35,174.551,1.31863,2.68916,1.39014,0.47366,0.16667,0.08348,0.03339,3.76535,4.64069,4.07355,0.000544776,0.000544776,0.000544776
36,179.599,1.40603,2.71307,1.49918,0.47366,0.16667,0.08348,0.03339,3.76535,4.64069,4.07355,0.000511769,0.000511769,0.000511769
37,184.701,1.49743,3.49985,1.68316,0.47366,0.16667,0.08348,0.03339,3.76535,4.64069,4.07355,0.000478762,0.000478762,0.000478762
38,189.534,1.31827,2.54359,1.50764,0.46794,0.16667,0.08353,0.02506,3.75948,4.84727,4.0104,0.000445756,0.000445756,0.000445756
